ID,thumbnail_URL,img_URL
346401,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-33008801.JPG&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-33008801.JPG&width=720&height=720&cache=yes
346947,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-33009461.JPG&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-33009461.JPG&width=720&height=720&cache=yes
394636,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30000231.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30000231.jpg&width=720&height=720&cache=yes
395025,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30000654.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30000654.jpg&width=720&height=720&cache=yes
395789,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30001628.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30001628.jpg&width=720&height=720&cache=yes
396123,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30002010.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30002010.jpg&width=720&height=720&cache=yes
396131,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30002018.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30002018.jpg&width=720&height=720&cache=yes
398492,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30004591.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30004591.jpg&width=720&height=720&cache=yes
398511,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30004506.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30004506.jpg&width=720&height=720&cache=yes
398818,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30004725.jpg&width=256&height=256&cache=yes,https://collectie.wereldculturen.nl/cc/imageproxy.ashx?server=localhost&port=17581&filename=images//Images/TM//TM-30004725.jpg&width=720&height=720&cache=yes
