00
001890
01
02
02
039
041
041
043
05
06
069
069
08
09
09
09
0a
0a
10000882
10001820
10036300
1008
101
102
1032
1044
1044
1044
105
10647
1072
1072
1082
109
10955
10de
10x15
11
111
1120
1138
1146
1147
115
1156
1166
1167
117
118
118
1183
1183
1202
1207
1207
1209
1215
1229
1235
1235
125
1259
1259
1273
1278
1279
129
12a
12e
12m
1303
1327
1327
1333
1350
1353
1353
136
137
1381
1382
1382
13e
14
1403
1407
1413
143
14430
14430
14480
145
146
1464
1470
1479
14e
15
1521
153
1540
156
158
1583
1585
1596
1596
1596
160
1621
163
1636
1644
168
1686
16de
1700
1707
172
172
1730
174
1746
1747
1750
1751
176
1762
1762
1771
1772
1774
1776
1776
1777
1787
1791
1792
1793
1793
1793
17e
17th
180
1800
1800
1800
1804
1807
1813
1819
1819
182
1820
1821
1821
1821
1829
1830s
1833
1835
184
18409
1843
1851
1857
1857
1858
1862
1865
1868
1868
1868
187
1870
1873
1880
1880s
1881
1884
1887
1888
1888
189
1890
1891
1894
1898
1899
1900
1900
1901
1902
1904
1906
1907
1909
1912
1914
1914
1921
1922
193
1931
1934
1934
1934
1936
1937
194
1942
1946
1947
1955
1960
1963
1965
1967
1970
1970
1972
1973
1975
1975
1975
1975
1976
1977
1977
1979
1979
1979
1981
1982
1988
1989
1990
1991
1992
1996
1998
1999
19de
1a
1e
1e
1e
1e
1ste
1ste
1tm14
1tm33
1tm8
2001
20010122
20010520
20010520
20010520
20010532
20010535
2006
2007
2007
2007
2008
2011
2018
2018
2028
2028
2049
205
205
206
208
208
20ste
212
2124
215
215
216
21a
21sten
21sten
21sten
2211
222
222
223
223
224
226
226
227
22b
23
233
2366
238
238
24
24
240
242
242
244
244
2488
2488
2489
25
2500
256
257
2574
26
26
2607
264
2650
2650
2670
272
277
27a
282
286
286a
286a
288
293
293
2953
2953
2960
2972
2976a
2976b
2a
2a
2de
30
3025
3025
3039
310
3155
323
323
328
32a
32e
32e
32e
333
3339
338
340a
340a
343
348
3500
3500
351
352
352
355
356
356
358
358
3590
3600
3600
361
36b
36c
36c
37
370
378a
378a
379
380
380l
381
383
383l
383l
383l
383l
383l
385
3891
3912
396
3a
3a
401
405
407
408
417a
4247
43
443
443
4458
4469
447
4470
4476
45
453
45a
45a
45a
4626
4635
4635
467
467
4740
478
478
479
483
485
488
48a
48a
49
490
492
4949
497
497
4a
4a
502
503
504
5069
51
5134
53
53
5300
5300
54
541
54a
554
572
582
582
5880
5884
5979
5e
5x5
600
60060828
60060828
60060828
601
6038
608
6283
6283
62a
63e
64
64a
67
686
689
692a
692a
696
696
700
7000
7000
7023
710
71999
7200
74
746
75
75
76cm
76cm
77
77
775
777
78
79cm
79cm
7de
82
82
82
850
850
850
86
860
87
87
870
870
88
884
884
8e
91
918
9200
93
932
95
96
962
98
980
980
980
99
99
a4
aaffie
aanbieden
aanbieden
aanblaasgat
aanbouw
aanbrengt
aandacht
aande
aande
aandeden
aandeel
aandoening
aanduiden
aanduidt
aaneenge
aaneengenaaid
aaneengeregen
aaneengeregen
aaneengestoken
aaneengestoken
aaneenliggende
aangaat
aangaf
aange
aange
aangeboden
aangebrachte
aangedragen
aangedragen
aangedreven
aangeduwd
aangeeft
aangeknepen
aangeknepen
aangeknepen
aangekondigd
aangelegde
aangeleverd
aangemeerd
aangemerkt
aangemerkt
aangemoedigd
aangemoedigd
aangeregen
aangesloten
aangetast
aangevallen
aangevallen
aangevuld
aangewezen
aangezette
aangrenzende
aangrenzing
aanhaken
aanhangsel
aanhechtingen
aankomende
aankomende
aankomst
aankomt
aankondiging
aankondiging
aankopen
aankopen
aanlegplaats
aanlegplaats
aanlegsteiger
aanmerkelijk
aanraakte
aanraakte
aanschouwelijk
aanschouwelijk
aanschouwelijk
aanschouwer
aansprak
aansprak
aanstaande
aanstaande
aantallen
aantallen
aantrekkelijk
aantrekkelijker
aanvaard
aanvaardde
aanvallen
aanvallen
aanvalshouding
aanvang
aanvangend
aanvankelijk
aanvielen
aanvielen
aanvraag
aanvraag
aanwijzingen
aanwinst
aanzien
aanziende
aanziende
aapje
aar
aardappel
aardappelen
aardbeving
aardbevingsvis
aardbol
aardewerkcentrum
aardewerken
aardewerkstijl
aardgodin
aardkleurstof
aardolie
aards
aardse
aartjan
aartsengelen
aartsrivaal
aas
aas
aat
aba
abbasiden
abbasidische
abdelg
abdul
abdullah
abelam
abell
abell
aber
abia
abia
abimanyu
aboriginal
aboriginal
aborigines
aborigines
aborigines
aborigines
about
above
above
abraham
abstracte
academiegebouw
acatlan
acatlan
accent
accent
accenten
accenten
acceptably
acceptably
accesoires
access
accijnzen
accommodaties
accompagne
accusations
aceh
acehstoomtramweg
aces
achetr
achetr
achieved
achtbare
achter
achterberg
achterberg
achterblijven
achterblijvende
achtereen
achtereen
achtereen
achtereinde
achteren
achteren
achtergebleven
achtergelaten
achtergr
achtergrondinformatie
achtergrondinformatie
achtergrondkleur
achtergrondpatroon
achtergrondskleur
achterhalen
achterhalen
achterhalen
achterhoofd
achterkant
achterknieen
achterknieen
achterland
achterland
achterlatend
achterpoten
achterpunt
achterrand
achterschutblad
achterschutblad
achtersieraad
achtersieraad
achtersteven
achteruit
achtervolgd
achterwand
achterzijde
achttien
achtzijdig
achtzijdig
achtzijdige
across
across
across
acryl
acrylisch
acrylverf
act
acties
activiteit
actopan
adat
adathuizen
additionele
adel
adellijke
adhi
adik
adipati
adivasi
adjudant
adjudant
administrateurshuis
administreerde
admiraal
admiralty
adoptie
adornment
adrian
adrian
adrian
adult
advies
adviseurs
advocaat
adze
adze
aeckerlin
aekerlin
aekerlin
aer
aesthetically
af
af
afbeelden
afbetaling
afdaalde
afdaalden
afdeeling
afdekken
afdekken
afdekken
afdeling
affiches
affiches
affiches
afgebakend
afgebeeld
afgebeeld
afgebiesd
afgebonden
afgebonden
afgebrande
afgedankte
afgedekt
afgedrukt
afgeleide
afgelezen
afgelopen
afgemaakt
afgemeerd
afgeplatte
afgeronde
afgeronde
afgeschaft
afgescheiden
afgeschraapt
afgesneden
afgesplinterd
afgestaan
afgestudeerden
afgevallen
afgevlakte
afgewerkt
afgezet
afgezet
afgrenzingen
afhalen
afhangende
afhangende
afhankelijk
afhankelijk
afkoeling
afkomstige
aflao
aflao
afleiden
afloop
aflopend
afm
afmetingen
afneembare
afr
africa
afrikaans
afrikaansche
afrikareizigers
afschaffing
afschaffing
afscheren
afscheren
afscheren
afschieten
afschrikken
afsluiting
afsluiting
afspeelde
afspeelde
afspiegeling
afspiegeling
afstammen
afstammen
afstand
afstapt
afsteekt
aftappen
aftredenden
aftredenden
aftredenden
aftredenden
afval
afweerde
afweerde
afwijkend
afwijkende
afwijkingen
afzender
afzetmarkt
afzetmarkt
afzonderingsperiode
afzonderlijk
afzonderlijk
afzonderlijke
afzonderlijke
again
agave
agave
age
agencies
agent
agent
agoeng
agorendida
agung
ah
ahlbrinck
ahvaz
ai
aia
aimed
air
aiyanar
aiyanar
aje
aje
aje
ajermadidi
ajour
ajour
ajour
akad
akad
akan
ake
ake
akkoorden
aklama
akonklon
akonklon
akshamala
aku
aku
al
alaminos
alaska
albanie
albanie
albinex
albumblad
alcohol
alcohol
alcoholische
alexander
alexandertocht
algeheel
algehele
algemeen
algerije
algiers
algiers
alioune
alkaline
alkaline
alkaline
all
alle
alle
alledaagse
alledrie
alledrie
alleen
allen
alleroudste
allerzielen
allerzielenbroodjes
alles
als
alsook
alsook
altaar
altaar
alto
amanamkai
amata
amatefiguren
amatenango
amateur
amateur
amateurfotoalbum
amateurfotoalbum
amateuristische
amazonia
amazonia
ambaan
ambachtelijk
ambachtslieden
amber
amberbaken
ambt
ambushes
amenoeban
america
ames
amitayus
amos
amos
ampat
ampenan
ampenan
ampilan
amsa
amuletachtig
amulethouders
amulethouders
amuletsoera
amuletten
amulettenzakjes
amusement
ana
ana
ana
analogie
analogie
ananas
ananas
ananas
anatomical
anatomisch
ancestral
ancien
ancien
anderen
andern
anders
andersom
anderszins
andrew
andy
andy
angklung
angsten
angstvallig
aniline
animales
animals
anime
anime
animisme
anito
anjerdag
ankerplaats
ankerplaats
annabel
anne
annet
annie
annie
anno
annotated
annual
anom
anonieme
another
